"Date","COUNTY","Site.Name","Mean.Latitude","Mean.Longitdue","month","year","pm2.5","Ozone"
2018-01-10,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,14,NA
2018-01-10,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,37,NA
2018-01-10,"Swain","Bryson City",35.434767,-83.442133,1,2018,56,NA
2018-01-10,"Wake","Millbrook School",35.856111,-78.574167,1,2018,22,33
2018-01-11,"Avery","Linville Falls",35.972347,-81.933072,1,2018,3,NA
2018-01-11,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,43.5,NA
2018-01-11,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,34,NA
2018-01-11,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,59,NA
2018-01-11,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,48.5,NA
2018-01-11,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,55,NA
2018-01-11,"Haywood","Frying Pan Mountain",35.379167,-82.7925,1,2018,0,NA
2018-01-11,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,41,NA
2018-01-11,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,35,26
2018-01-11,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,12,NA
2018-01-11,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,27.5,NA
2018-01-11,"Swain","Bryson City",35.434767,-83.442133,1,2018,17,NA
2018-01-11,"Wake","Millbrook School",35.856111,-78.574167,1,2018,23,26
2018-01-12,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,5,NA
2018-01-12,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,8,NA
2018-01-12,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,23,NA
2018-01-12,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,23,NA
2018-01-12,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,15,NA
2018-01-12,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,13,NA
2018-01-12,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,20,33
2018-01-12,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,0,NA
2018-01-12,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,12,NA
2018-01-12,"Swain","Bryson City",35.434767,-83.442133,1,2018,10,NA
2018-01-12,"Wake","Millbrook School",35.856111,-78.574167,1,2018,0,35
2018-01-13,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,20,NA
2018-01-13,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,0,NA
2018-01-13,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,10,NA
2018-01-13,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,10,NA
2018-01-13,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,12,NA
2018-01-13,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,8,NA
2018-01-13,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,15,32
2018-01-13,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,10,NA
2018-01-13,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,3,NA
2018-01-13,"Swain","Bryson City",35.434767,-83.442133,1,2018,18,NA
2018-01-13,"Wake","Millbrook School",35.856111,-78.574167,1,2018,24,32
2018-01-14,"Avery","Linville Falls",35.972347,-81.933072,1,2018,10,NA
2018-01-14,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,20,NA
2018-01-14,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,10,NA
2018-01-14,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,25,NA
2018-01-14,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,20.3333333333333,NA
2018-01-14,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,22,NA
2018-01-14,"Haywood","Frying Pan Mountain",35.379167,-82.7925,1,2018,6,NA
2018-01-14,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,15,NA
2018-01-14,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,26.5,31
2018-01-14,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,10,NA
2018-01-14,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,15.5,NA
2018-01-14,"Swain","Bryson City",35.434767,-83.442133,1,2018,28,NA
2018-01-14,"Wake","Millbrook School",35.856111,-78.574167,1,2018,19.5,NA
2018-01-15,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,44,NA
2018-01-15,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,24,NA
2018-01-15,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,30,NA
2018-01-15,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,30,NA
2018-01-15,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,40,NA
2018-01-15,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,35,NA
2018-01-15,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,43,27
2018-01-15,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,21,NA
2018-01-15,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,30,NA
2018-01-15,"Swain","Bryson City",35.434767,-83.442133,1,2018,43,NA
2018-01-15,"Wake","Millbrook School",35.856111,-78.574167,1,2018,35,NA
2018-01-16,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,60,NA
2018-01-16,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,29,NA
2018-01-16,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,69,NA
2018-01-16,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,68,NA
2018-01-16,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,70,NA
2018-01-16,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,53,NA
2018-01-16,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,61,28
2018-01-16,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,20,NA
2018-01-16,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,37,NA
2018-01-16,"Swain","Bryson City",35.434767,-83.442133,1,2018,52,NA
2018-01-16,"Wake","Millbrook School",35.856111,-78.574167,1,2018,58,24
2018-01-17,"Avery","Linville Falls",35.972347,-81.933072,1,2018,19,NA
2018-01-17,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,54.5,NA
2018-01-17,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,38,NA
2018-01-17,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,55,NA
2018-01-17,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,47.5,NA
2018-01-17,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,51,NA
2018-01-17,"Haywood","Frying Pan Mountain",35.379167,-82.7925,1,2018,15,NA
2018-01-17,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,66,NA
2018-01-17,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,40.5,28
2018-01-17,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,24,NA
2018-01-17,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,48.5,NA
2018-01-17,"Swain","Bryson City",35.434767,-83.442133,1,2018,37,NA
2018-01-17,"Wake","Millbrook School",35.856111,-78.574167,1,2018,56,29
2018-01-18,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,45,NA
2018-01-18,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,31,NA
2018-01-18,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,40,NA
2018-01-18,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,35,NA
2018-01-18,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,34,NA
2018-01-18,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,50,NA
2018-01-18,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,40,31
2018-01-18,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,30,NA
2018-01-18,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,38,NA
2018-01-18,"Swain","Bryson City",35.434767,-83.442133,1,2018,48,NA
2018-01-18,"Wake","Millbrook School",35.856111,-78.574167,1,2018,54,35
2018-01-19,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,57,NA
2018-01-19,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,25,NA
2018-01-19,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,54,NA
2018-01-19,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,43,NA
2018-01-19,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,37,NA
2018-01-19,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,42,NA
2018-01-19,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,49,22
2018-01-19,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,34,NA
2018-01-19,"Swain","Bryson City",35.434767,-83.442133,1,2018,52,NA
2018-01-19,"Wake","Millbrook School",35.856111,-78.574167,1,2018,55,32
2018-01-20,"Avery","Linville Falls",35.972347,-81.933072,1,2018,8,NA
2018-01-20,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,45,NA
2018-01-20,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,28,NA
2018-01-20,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,63,NA
2018-01-20,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,36,NA
2018-01-20,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,38,NA
2018-01-20,"Haywood","Frying Pan Mountain",35.379167,-82.7925,1,2018,6,NA
2018-01-20,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,40,NA
2018-01-20,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,43,32
2018-01-20,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,21,NA
2018-01-20,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,41,NA
2018-01-20,"Swain","Bryson City",35.434767,-83.442133,1,2018,51,NA
2018-01-20,"Wake","Millbrook School",35.856111,-78.574167,1,2018,50,35
2018-01-21,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,44,NA
2018-01-21,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,22,NA
2018-01-21,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,48,NA
2018-01-21,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,49,NA
2018-01-21,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,34,NA
2018-01-21,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,43,NA
2018-01-21,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,53,36
2018-01-21,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,35,NA
2018-01-21,"Swain","Bryson City",35.434767,-83.442133,1,2018,50,NA
2018-01-21,"Wake","Millbrook School",35.856111,-78.574167,1,2018,51,34
2018-01-22,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,59,NA
2018-01-22,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,40,NA
2018-01-22,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,58,NA
2018-01-22,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,52,NA
2018-01-22,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,51,NA
2018-01-22,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,57,NA
2018-01-22,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,57,37
2018-01-22,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,25,NA
2018-01-22,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,39,NA
2018-01-22,"Swain","Bryson City",35.434767,-83.442133,1,2018,48,NA
2018-01-22,"Wake","Millbrook School",35.856111,-78.574167,1,2018,59,32
2018-01-23,"Avery","Linville Falls",35.972347,-81.933072,1,2018,10,NA
2018-01-23,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,18.5,NA
2018-01-23,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,13,NA
2018-01-23,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,25,NA
2018-01-23,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,20,NA
2018-01-23,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,19,NA
2018-01-23,"Haywood","Frying Pan Mountain",35.379167,-82.7925,1,2018,11,NA
2018-01-23,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,15,NA
2018-01-23,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,15.5,36
2018-01-23,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,8,NA
2018-01-23,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,16,NA
2018-01-23,"Swain","Bryson City",35.434767,-83.442133,1,2018,17,NA
2018-01-23,"Wake","Millbrook School",35.856111,-78.574167,1,2018,20.5,37
2018-01-24,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,26,NA
2018-01-24,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,3,NA
2018-01-24,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,16,NA
2018-01-24,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,15,NA
2018-01-24,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,13,NA
2018-01-24,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,15,NA
2018-01-24,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,22,28
2018-01-24,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,7,NA
2018-01-24,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,9,NA
2018-01-24,"Swain","Bryson City",35.434767,-83.442133,1,2018,18,NA
2018-01-24,"Wake","Millbrook School",35.856111,-78.574167,1,2018,20,31
2018-01-25,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,43,NA
2018-01-25,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,8,NA
2018-01-25,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,34,NA
2018-01-25,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,34,NA
2018-01-25,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,27,NA
2018-01-25,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,25,NA
2018-01-25,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,30,31
2018-01-25,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,13,NA
2018-01-25,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,13,NA
2018-01-25,"Swain","Bryson City",35.434767,-83.442133,1,2018,26,NA
2018-01-25,"Wake","Millbrook School",35.856111,-78.574167,1,2018,35,31
2018-01-26,"Avery","Linville Falls",35.972347,-81.933072,1,2018,18,NA
2018-01-26,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,46,NA
2018-01-26,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,16,NA
2018-01-26,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,58,NA
2018-01-26,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,57.6666666666667,NA
2018-01-26,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,56,NA
2018-01-26,"Haywood","Frying Pan Mountain",35.379167,-82.7925,1,2018,8,NA
2018-01-26,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,35,NA
2018-01-26,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,46,34
2018-01-26,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,6,NA
2018-01-26,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,21,NA
2018-01-26,"Swain","Bryson City",35.434767,-83.442133,1,2018,52,NA
2018-01-26,"Wake","Millbrook School",35.856111,-78.574167,1,2018,47.5,28
2018-01-27,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,42,NA
2018-01-27,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,18,NA
2018-01-27,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,61,NA
2018-01-27,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,76,NA
2018-01-27,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,55,NA
2018-01-27,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,27,NA
2018-01-27,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,49,31
2018-01-27,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,3,NA
2018-01-27,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,26,NA
2018-01-27,"Swain","Bryson City",35.434767,-83.442133,1,2018,58,NA
2018-01-27,"Wake","Millbrook School",35.856111,-78.574167,1,2018,37,37
2018-01-28,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,25,NA
2018-01-28,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,10,NA
2018-01-28,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,56,NA
2018-01-28,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,46,NA
2018-01-28,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,46,NA
2018-01-28,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,18,NA
2018-01-28,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,43,29
2018-01-28,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,0,NA
